"","participant","exp","english","spanish"
"1","5a08c9a7f2e3460001edb063","stops",0.695948502919223,0.354005114211394
"2","5b2a091e7297750001c7653e","stops",0.0493794496301131,0.143638291556579
"3","5d3894798bb75200164c557e","stops",0.678542033623364,0.0257974629113952
"4","5dc483cf74939e34e55c3619","stops",0.137897652601221,-0.228993288741608
"5","5dd733664524e76dc4537fe2","stops",0.761642858391109,0.198235692967801
"6","5df216021d6b46119b5b5db9","stops",0.666430693259062,0.37830201228832
"7","5e67032bc302df492496fbaa","stops",-0.194603795764761,-0.227678073640289
"8","5ea01b4b2d7b4d0243d93f78","stops",0.0604354370329411,0.12122365441252
"9","5ec5a55832a7515e8324a8a8","stops",0.73729932654284,0.145579127690066
"10","5f2bffa8d4f0d601244ab240","stops",0.329018928237381,0.728662940007352
"11","5f464897fd3e1a000a17db32","stops",0.07720980440213,0.765223340308464
"12","5f4bf4536b68b57e64ad4f2d","stops",-0.200149303804407,0.164542773169591
"13","5f51e044db8a35429f9d6e7b","stops",-0.864296183865603,-0.846283421825606
"14","5f56143fd7f57c9e86a26bfa","stops",0.952343079410098,0.757719707591586
"15","5f989fa02b5a611b2df1a305","stops",0.977448462710945,1.35175331142693
"16","5fac89c216b5ae293eb9cfd9","stops",0.461794078923829,-0.936812327862642
"17","5fb31c2b353c5ea37f63bdc6","stops",0.430610566452953,0.143198907801166
"18","5fbb445fed317dc4907cfad4","stops",0.924627537605948,0.471560484345636
"19","5fc1df101de4be2f7e501f2c","stops",0.418555201996831,0.725464123052171
"20","5fc679e8b4c6de107d3ba8f5","stops",0.606650704128009,0.116179878429705
"21","5fceb47a2cc34e169c85d3d7","stops",0.210098826481564,-0.077443238650124
"22","5fd529f2c346b034c758c278","stops",1.0860930453209,0.0198907081409793
"23","5fd9889065c9f726aeaed2ae","stops",0.311988441388271,0.299821259977749
"24","5fe1788f2178d1c1b4af5bbd","stops",1.25988819552031,0.853557951979161
"25","5fe92ffe2c2ee638b14a6d29","stops",1.17985994139792,1.06836837371781
