"","participant","exp","l1","english","spanish","l3","l3_group"
"1","5b67bffa9ed653000189ff3c","vowels","English",-0.166812546183469,-0.149632882923575,-0.208935638217976,"french"
"2","5d3df88c6a5b1e0001a91d8d","vowels","English",-0.155145786877891,-0.196729621254501,-0.225382668025257,"french"
"3","5dab79a5525a7600139cd31e","vowels","English",-0.157330845318046,-0.166946924290075,-0.153210430139349,"french"
"4","5dc483cf74939e34e55c3619","vowels","English",-0.11131188717255,-0.128420191611955,-0.118983818341678,"french"
"5","5ea01b4b2d7b4d0243d93f78","vowels","English",-0.133256820986517,-0.0804279388237304,-0.128393977136363,"french"
"6","5ed39d114858d002a0691781","vowels","English",-0.224269956916304,-0.203146903562354,-0.224269956916304,"french"
"7","5ef34cc943115906d6aa397f","vowels","English",-0.128397538821183,-0.061176853967172,-0.0901425922036855,"french"
"8","5f2bffa8d4f0d601244ab240","vowels","English",-0.153210430139349,-0.153210430139349,-0.166946924290113,"french"
"9","5f51e044db8a35429f9d6e7b","vowels","English",-0.1093598795079,-0.147632512298514,-0.151559311231442,"french"
"10","5f5f5013f947f6000bd8ddcb","vowels","English",-0.147632512298516,-0.176317539548574,-0.176317539548574,"french"
"11","5f989fa02b5a611b2df1a305","vowels","English",-0.120134609929586,-0.105221637385066,-0.105221637385066,"french"
"12","5fa0bf0afbd42f13cf56e987","vowels","English",-0.0999255634475485,-0.149632882923575,-0.0223946047871118,"french"
"13","5fac89c216b5ae293eb9cfd9","vowels","English",-0.109203444247825,-0.0804135137355632,-0.101676157607622,"french"
"14","5fad49057daf5f0162284e86","vowels","English",-0.149632882923575,-0.109157994486928,-0.105221637385066,"french"
"15","5fbb445fed317dc4907cfad4","vowels","English",-0.0900218719441968,-0.140679216712042,-0.198564417718868,"french"
"16","5fceb47a2cc34e169c85d3d7","vowels","English",-0.176529334406337,-0.0804498925857004,-0.0324528789270018,"french"
"17","5fd529f2c346b034c758c278","vowels","English",-0.157220239303261,-0.157142506067715,-0.176317539548574,"french"
