"","participant","exp","l1","english","l3","spanish","l3_group"
"1","563bb259be9cac0005aab7ab","vowels","Spanish",-0.0572370151899248,-0.109157994486928,-0.105221637385066,"hungarian"
"2","5ad9fe1b80491c000142e065","vowels","Spanish",-0.149632882923575,-0.157142506067715,-0.166812546184092,"hungarian"
"3","5cf5fe247ce340001ac0bdd8","vowels","Spanish",-0.139623173011933,-0.176406030305173,-0.162521793760986,"hungarian"
"4","5d4cc624ae079c0019f544b6","vowels","Spanish",0.0367874001515174,-0.0537023127356646,-0.0516198943239242,"hungarian"
"5","5d7c7425c0d7db00187b1199","vowels","Spanish",-0.196120213730259,-0.1092300570695,-0.0572370151899248,"hungarian"
"6","5d97bf1cfaa2860015b165a6","vowels","Spanish",-0.0278954088504222,-0.118679888816522,-0.118679888816521,"hungarian"
"7","5e111e34e69d0a80632daba6","vowels","Spanish",-0.109279389722854,-0.128951822145106,-0.153210430139349,"hungarian"
"8","5e3f7b673ba9991dc9cabcfa","vowels","Spanish",-0.0420162251537012,-0.0516289012865506,-0.055608467581311,"hungarian"
"9","5e88a67c651ae60009602e69","vowels","Spanish",-0.157142506067715,-0.177707157253702,-0.197585794424317,"hungarian"
"10","5e8e520df84fbf114143b0a2","vowels","Spanish",-0.0803926037917953,-0.0324323402564876,-0.0421466422186237,"hungarian"
"11","5ec28db2622c500632dc95bc","vowels","Spanish",-0.0612396684742677,-0.140117803109132,-0.0515632003326186,"hungarian"
"12","5f00962ef7b0241ae371d912","vowels","Spanish",-0.0420003701776657,-0.0617930225452249,-0.0708688539111028,"hungarian"
"13","5f19dc86afa07c0894f60578","vowels","Spanish",0.0618200725155387,-0.0537023127356646,-0.00368748830025429,"hungarian"
"14","5f2dfe7552744f15bee0423c","vowels","Spanish",-0.128740640316611,-0.084174089286592,-0.151559311231442,"hungarian"
"15","5f3050933b5a04118e4a4f73","vowels","Spanish",-0.061176853967172,-0.0516289012865506,-0.0130356004855056,"hungarian"
"16","5f3344917a7a0b159bd0c375","vowels","Spanish",-0.105221637385066,-0.0612313139794847,-0.118679888816521,"hungarian"
"17","5f4056738318181904984b01","vowels","Spanish",-0.176375600809567,-0.205454283356012,-0.197585794424317,"hungarian"
"18","5f4e8e05550a4d095a76387f","vowels","Spanish",-0.055608467581311,-0.0708451126095155,-0.0901274967438104,"hungarian"
"19","5f6265b707ccb62ae21f22a2","vowels","Spanish",-0.0516686288200099,-0.0537023127356646,-0.055608467581311,"hungarian"
"20","5f67c61d4084d6407fb4a346","vowels","Spanish",-0.042026141556575,-0.055608467581311,-0.0591431700499712,"hungarian"
"21","5f6916f985575a0f22ec8f69","vowels","Spanish",-0.0228236108429852,-0.0036874883002543,-0.0324175439326838,"hungarian"
"22","5f6aca6b9b8c12072e3b670c","vowels","Spanish",-0.0996496350640077,-0.101676157607622,-0.147841329161307,"hungarian"
"23","5f749c73a22350067f962e98","vowels","Spanish",-0.0516289012865506,-0.0612508892231561,-0.0712865482554671,"hungarian"
"24","5fb409b846be3f02e4bba819","vowels","Spanish",-0.103586279356329,-0.128397538813081,-0.0904508781320784,"hungarian"
"25","5fbef81be5a619162a47170c","vowels","Spanish",-0.0901274967438104,-0.128420191611961,-0.103586279356329,"hungarian"
"26","5fd9684eb6ce932447f5e810","vowels","Spanish",-0.153210430139349,-0.16666399860488,-0.167179488217397,"hungarian"
"27","5fefa6ca19762831d10054bc","vowels","Spanish",-0.0804131425306944,-0.128347174436576,-0.105221637385066,"hungarian"
"28","60069526535f9aa0acab5ba3","vowels","Spanish",-0.070819341230607,-0.0996622438471876,-0.0900218719441969,"hungarian"
